nationality,class,time_s,time,5ktime,5kdiff,5kminperk,5kkmh,5kplace,10ktime,10kdiff,10kminperk,10kkmh,10kplace,15ktime,15kdiff,15kminperk,15kkmh,15kplace,20ktime,20kdiff,20kminperk,20kkmh,20kplace,finishtime_s,finishtime,finishdiff,finishminperk,finishkmh
SWE,H17,4907,01:21:47,00:18:31,18:31,03:43,16.20,206,00:37:11,18:40,03:45,16.07,243,00:56:52,19:41,03:57,15.24,280,01:17:29,20:37,04:08,14.55,319,4907,01:21:47,04:17,03:55,15.34
SWE,H17,4907,01:21:47,00:19:39,19:39,03:56,15.25,587,00:38:52,19:12,03:51,15.62,494,00:58:19,19:26,03:54,15.43,418,01:17:46,19:26,03:54,15.43,341,4907,01:21:47,04:01,03:40,16.38
SWE,D45,5889,01:38:09,00:22:33,22:33,04:31,13.30,277,00:45:07,22:34,04:31,13.29,291,01:08:44,23:36,04:44,12.71,305,01:32:59,24:15,04:52,12.37,325,5889,01:38:09,05:09,04:43,12.75
SWE,H40,4907,01:21:47,00:19:19,19:19,03:52,15.53,425,00:38:07,18:47,03:46,15.96,361,00:57:34,19:27,03:54,15.42,347,01:17:39,20:05,04:02,14.93,332,4907,01:21:47,04:08,03:47,15.92
SWE,D45,5889,01:38:09,00:22:08,22:08,04:26,13.55,215,00:44:35,22:26,04:30,13.37,237,01:08:18,23:43,04:45,12.65,275,01:32:47,24:28,04:54,12.26,307,5889,01:38:09,05:22,04:55,12.23
DEN,D17,5890,01:38:10,00:23:14,23:14,04:39,12.91,467,00:46:09,22:55,04:36,13.08,429,01:09:37,23:28,04:42,12.78,379,01:33:20,23:42,04:45,12.65,340,5890,01:38:10,04:49,04:25,13.62
SWE,H35,4908,01:21:48,00:19:16,19:16,03:52,15.56,409,00:38:11,18:54,03:47,15.87,373,00:57:37,19:25,03:54,15.44,351,01:17:33,19:56,04:00,15.05,324,4908,01:21:48,04:15,03:53,15.48
SWE,D17,5891,01:38:11,00:23:05,23:05,04:38,12.99,417,00:45:50,22:45,04:34,13.18,385,01:09:16,23:25,04:42,12.81,344,01:33:05,23:49,04:46,12.59,330,5891,01:38:11,05:06,04:39,12.90
SWE,H35,4909,01:21:49,00:19:09,19:09,03:50,15.66,376,00:37:54,18:44,03:45,16.00,337,00:57:21,19:27,03:54,15.42,325,01:17:34,20:12,04:03,14.84,326,4909,01:21:49,04:14,03:53,15.49
SWE,H17,4909,01:21:49,00:18:21,18:21,03:41,16.34,183,00:36:53,18:32,03:43,16.18,206,00:56:20,19:26,03:54,15.43,239,01:17:04,20:43,04:09,14.48,294,4909,01:21:49,04:45,04:20,13.86
SWE,D45,5891,01:38:11,00:23:14,23:14,04:39,12.90,473,00:45:54,22:39,04:32,13.24,397,01:09:17,23:22,04:41,12.83,346,01:33:06,23:49,04:46,12.59,331,5891,01:38:11,05:04,04:38,12.97
SWE,D45,5894,01:38:14,00:22:20,22:20,04:29,13.42,241,00:45:02,22:41,04:33,13.22,283,01:08:56,23:53,04:47,12.56,323,01:33:08,24:12,04:51,12.39,332,5894,01:38:14,05:05,04:39,12.93
SWE,H35,4911,01:21:51,00:19:31,19:31,03:55,15.37,510,00:38:19,18:48,03:46,15.95,398,00:57:45,19:25,03:54,15.44,356,01:17:40,19:55,04:00,15.06,333,4911,01:21:51,04:10,03:49,15.75
FRA,H17,4911,01:21:51,00:19:11,19:11,03:51,15.63,389,00:37:55,18:43,03:45,16.02,339,00:57:32,19:37,03:56,15.29,346,01:17:40,20:07,04:02,14.90,334,4911,01:21:51,04:10,03:49,15.75
